,Customer
0,0.3472750527536969
1,0.41981055394406597
2,0.3297393757809994
3,0.36805411309033786
4,0.339134391071126
5,0.3704693939453993
6,0.4252840449237709
7,0.44652488987032996
8,0.37094370601009474
9,0.3859974949826087
10,0.3326523805830291
11,0.3182982638282622
12,0.2837029345704047
13,0.36849141250939293
14,0.40559413833977426
15,0.421886964842273
16,0.39624773966163673
17,0.29870880093595154
18,0.3446242162981865
19,0.3276423710887353
20,0.36976719945624265
21,0.32363246381004046
22,0.32346009254017327
23,0.3324510485983126
24,0.34292689799381637
25,0.2996891338730777
26,0.291309933231273
27,0.31177773274105314
28,0.3209255264770326
29,0.28117987348922646
30,0.293517560987901
31,0.3078195270270372
32,0.3362864983299654
33,0.34101774460273354
34,0.37902631209047455
35,0.4485741991967572
36,0.3911073349705091
37,0.35767597275358826
38,0.334341572900628
39,0.3800152645218959
40,0.3273908931514166
41,0.34252198234758013
42,0.34620163536013493
43,0.4220309337325211
44,0.4237082593554947
45,0.3514244678029451
46,0.3315188954049041
47,0.3681897927651128
48,0.37586222384488444
49,0.3287685675515717
50,0.3079263017983464
51,0.28992401657858796
52,0.42424487997236204
53,0.27520043090737933
54,0.349543964082991
55,0.31835010689873733
56,0.35241843443038184
57,0.34014814651012787
58,0.2972096904033096
59,0.31008805968756753
60,0.33385084354145655
61,0.3189592033466416
62,0.33897278461899216
63,0.27084032605949593
64,0.27051930664826285
65,0.2550460535386766
66,0.2645254127153604
67,0.330636760441429
68,0.3943370558156228
69,0.2669934034879745
70,0.29161998515424975
71,0.21176834874748138
72,0.305312686849655
73,0.28905671624539636
74,0.27678723015564627
75,0.3335528250694315
76,0.31202074563044163
77,0.2971622646205888
78,0.2324438475044094
79,0.2719473318466667
80,0.2822397315821239
81,0.27286516149248197
82,0.26118861701267737
83,0.34626977991051067
84,0.326533532932556
85,0.3025754896129724
86,0.30105987254178274
87,0.2702573632365922
88,0.2826795618293337
89,0.2742331648871551
90,0.30559742283355823
91,0.29952828566923223
92,0.2991663938256699
93,0.30518697652169663
94,0.2931904661669246
95,0.28690162148158055
96,0.3257796167192177
97,0.35994060547001083
98,0.36292727993848617
99,0.32404284597621724
100,0.3355987879121021
101,0.29801050908751026
102,0.4434288533478085
103,0.3404472489449663
104,0.30985622423150344
105,0.3518134337674513
106,0.30615119184454187
107,0.3156006030258648
108,0.27450294238359335
109,0.3525932894269579
110,0.32728556608171183
111,0.3310270790631384
112,0.2585633472114973
113,0.299658290539983
114,0.3030592097523653
115,0.32393158696363916
116,0.35756262985510734
117,0.34378889150184927
118,0.37606927801627366
119,0.3819997845241688
120,0.35021461415464905
121,0.3416537395699626
122,0.3192098718840683
123,0.330519177191476
124,0.3473969053987401
125,0.33805146032919386
126,0.3228008503106969
127,0.3215502771938271
128,0.2665958285207606
129,0.3190126978720843
130,0.05064003436818349
131,0.2460168780998407
132,0.5263717234573465
133,0.30839846210446953
134,0.3447882068200649
135,0.2901475106183117
136,0.268399331986857
137,0.2975502581254326
138,0.2852100170002025
139,0.3020826713114964
140,0.19331256963477425
141,0.3050385587545623
142,0.3021045770880508
143,0.32975634878020155
144,0.30387077588059164
145,0.32408607193842276
146,0.2563478378479011
147,0.3352910893626615
148,0.36342811425235944
149,0.29702666317261706
150,0.39276979499837916
151,0.38459623475534904
152,0.29722072213168454
153,0.2873561578578515
154,0.3437432584102316
155,0.30141710236838287
156,0.3564989393140858
157,0.32671482660444845
158,0.2754605428156839
159,0.29671008241529434
160,0.2526215933074752
161,0.25149502835268334
162,0.30206469708182215
163,0.36894174845132943
164,0.473801534612396
165,0.30744432541869493
166,0.3097074026006863
167,0.3204733161294374
168,0.2844341399774799
169,0.36039637461986507
170,0.2614735311342699
171,0.2723103805432906
172,0.3262129219597953
173,0.30324204685858036
174,0.32781104584048754
175,0.3516932287486126
176,0.38044930075823663
177,0.4067093635957639
178,0.3971128968139864
179,0.48329410330825856
180,0.5119111917709978
181,0.4163160316504504
182,0.3890727391515651
183,0.5501736088771458
184,0.41422095101919865
185,0.5501578777444459
186,0.48250934211553087
187,0.46146517773114143
188,0.2848712379137784
189,0.3655897455237865
190,0.3423837285488839
191,0.3735527200467427
192,0.35467931141244535
193,0.3686037932897542
194,0.36021487552103393
195,0.3832403479573789
196,0.32064877991718543
197,0.48542004228546953
198,0.4957289410992098
